RUMPH PLAYGROUND,100-70 E JOHNSON ST
RUSSELL BYERS CHARTER SCHOOL,1911-13 ARCH ST
RUSSELL CONWELL MIDDLE SCHOOL,1829 E CLEARFIELD ST
RUSSELL TABERNACLE CME,516 WHARTON ST
RUSSIAN ORTHODOX CHURCH OF OUR LADY,560 N 20TH ST
RUSSO PARK PLAYGROUND,7301 TORRESDALE AVE
RUSSO PARK PLAYGROUND BUILDING,7301 TORRESDALE AVE
RUTLAND PLAYGROUND,5025 RUTLAND ST
RYAN VETERINARY HOSPITAL,3900-02 SPRUCE ST
RYERSS CARRIAGE HOUSE,7370 CENTRAL AVE
RYERSS MANSION AND LIBRARY,7370 CENTRAL AVE
RYERSS MUSEUM & LIBRARY,7370 CENTRAL AVE
RYERSS SPRINGHOUSE,7370 CENTRAL AVE
S. CLEMENT'S CHURCH,114-30 N 20TH ST
SEPTA BUILDING,1234 MARKET ST
SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,1730 S 10TH ST
SS PETERS & PAUL,9230 OLD BUSTLETON AVE
SS UNITED STATES,1951 S CHRISTOPHER COLUMBUS BLVD
SSJ CHAPEL & AUDITORIUM,9701 GERMANTOWN AVE
SSJ EARTH CENTER,9701 GERMANTOWN AVE
SSJ OFFICES,9701 GERMANTOWN AVE
SABBATH FAITH ADVENTIST CHURCH,901 W SPENCER AVE
SACKS PLAYGROUND,400 WASHINGTON AVE
SACKS PLAYGROUND BUILDING,400 WASHINGTON AVE
SACRED HEART FREE HOME,1301 W HUNTING PARK AVE
SACRED HEART HOME,6445-55 GERMANTOWN AVE
SACRED HEART SCHOOL,231 REED ST
SACRED HEART OF JESUS CHURCH,1420 S 3RD ST
SACRED HEARTS SISTERS CHILD CARE,160 CARPENTER LN
SADIE TANNER MOSSELL ALEXANDER UNIVERSITY OF PENNSYLVANIA PARTNERSHIP SCHOOL,4201 SPRUCE ST
SAFE CLEAN CHILDRENS FACILITY,101 W MOUNT PLEASANT AVE
SAINT ALPHONSUS HOUSE (JESUIT RESIDENCE),5820 OVERBROOK AVE
SAINT BARBARA'S ROMAN CATHOLIC CHURCH,5333 LEBANON AVE
SAINT CYPRIAN ROMAN CATHOLIC CHURCH,6213-35 CEDAR AVE
SAINT ELIZABETHS SCHOOL,2239-47 W MONTGOMERY AVE
SAINT FRANCIS XAVIER CHURCH,641-51 N 24TH ST
SAINT GEORGES AND THE DRAGON,MARTIN LUTHER KING JR DR NEAR BLACK RD
SAINT JOHN CHRYSOSTOM ALBANIAN ORTHODOX CHURCH,237 N 17TH ST
SAINT JOSEPH HALL,9701 GERMANTOWN AVE
SAINT MARY OF THE ASSUMPTION CEMETERY,398 LEMONTE ST
SAINT MARY'S CHURCH,1831-35 BAINBRIDGE ST
SAINT MICHAEL THE ARCHANGEL ORTHODOX CHURCH,335-37 FAIRMOUNT AVE
SAINT PATRICK'S CHURCH,250 S 20TH ST
SAINT PAUL CHURCH,923 CHRISTIAN ST
SAINT PETERS CEMETERY,2545 E TIOGA ST
SAINT PHILIP SCHOOL,200 CHRISTIAN ST
SAINT VINCENTS CHILDRENS HOME,6901 WOODLAND AVE
SAINT VINCENTS SEMINARY,526 E CHELTEN AVE
SAINTS TABERNACLE CHURCH,5812 N MARVINE ST
SAINTS TABERNACLE SCHOOL,5812 N MARVINE ST
SALVATION ARMY,3225 REED ST
SALVATION ARMY,5501-05 MARKET ST
SALVATION ARMY SITE (FORMER),2140 MARKET ST
SAMUEL B. HUEY SCHOOL,400-16 S 52ND ST
SAMUEL FELS HS,5500 LANGDON ST
SAMUEL GOMPERS ELEMENTARY SCHOOL,2400 N 57TH ST
SAMUEL MEMORIAL & FOUNTAIN,KELLY DR
SAMUEL PENNYPACKER ELEMENTARY SCHOOL,1850 E WASHINGTON LN
SAMUEL POWEL ELEMENTARY SCHOOL,3501-15 POWELTON AVE
SAMUEL RECREATION CENTER,2501 E TIOGA ST
SAMUEL RECREATION CENTER BUILDING,2501 E TIOGA ST
SANCTUARY BAPTIST CHURCH,3019-21 W YORK ST
SANCTUARY CHRISTIAN ACADEMY,5923 WALNUT ST
SANCTUARY CHURCH OF GOD IN CHRIST,1753-55 S RINGGOLD ST
SANCTUARY CHURCH OF OPEN DOOR,5923 WALNUT ST
SANCTUARY CHURCH-GOD IN CHRIST,34-36 E SHARPNACK ST
SANDMEYER LANE PLAZA,10010 SANDMEYER LN
SANITATION CONVENIENCE CENTER,3901 N DELAWARE AVE
SANKOFA FREEDOM ACADEMY CHARTER SCHOOL,2501-33 KENSINGTON AVE
SANKOFA FREEDOM ACADEMY CHARTER SCHOOL,4256 PAUL ST
SANSOM PLACE WEST,3401-99 SPRUCE ST
SANSOM ST PLAY LOT,4700-08 SANSOM ST
SARAH TEMPLE CHURCH,7427-87 BRIAR RD
SAUL W B AGRICULTURAL SCHOOL HIGH SCHOOL,7100 HENRY AVE
SAUNDERS PARK,300-50 SAUNDERS AVE
SAYERS MEMORIAL UNITED METHODIST,6101-09 CATHARINE ST
SAYLOR GROVE,5800 WISSAHICKON AVE
SAYRE HIGH SCHOOL,5800 WALNUT ST
SAYRE MORRIS RECREATION CENTER,5800 WALNUT ST
SAYRE MORRIS RECREATION CENTER BUILDING,5800 WALNUT ST
SCANLON RECREATION CENTER,1099 E TIOGA ST
SCANLON RECREATION CENTER ICE RINK,1099 E TIOGA ST
SCHATTNER CENTER FOR THE SCHOOL OF DENTAL MEDICINE,3401-99 SPRUCE ST
SCHEIE EYE INSTITUTE,3800 POWELTON AVE
SCHILLER,BELMONT AVE & N HORTICULTURAL DR
SCHMIDT JOHN PLAYGROUND BUILDING,113-23 W ONTARIO ST
SCHMIDT PLAYGROUND,113-23 W ONTARIO ST
SCHOLLER HALL,3300 W SCHOOL HOUSE LN
SCHOOL DIVERSION CENTER,91 N 48TH ST
SCHOOL OF CULINARY ARTS,2300-12 MARKET ST
SCHOOL OF MOORISH SCIENCE TEMPLE,2022 SOUTH ST
SCHOOL OF NURSING LIBRARY,4914 N PENN ST
SCHOOL OF VETERINARY MEDICINE OLD QUAD,3401-99 SPRUCE ST
SCHOOL OF THE FUTURE,4001L PARKSIDE AVE
SCHOOL OF THE ROMAN CATHOLIC CHURCH OF SAINT MADELEINE SOPHIE,6452 GREENE ST
SCHOTTISH RITE UNITED SUPREME COUNCIL,1514-20 FITZWATER ST
SCHUYLKILL BANKS,400-16 S TANEY ST
SCHUYLKILL CENTER FOR ENVIRONMENTAL EDUCATION,101 SPRING LN
SCHUYLKILL POST OFFICE,2900 GRAYS FERRY AVE
SCHUYLKILL RIVER PARK,302 N 24TH ST
SCHUYLKILL RIVER PARK,400-16 S TANEY ST
SCHUYLKILL RIVER PARK COMMUNITY GARDEN,2500R-06 LOCUST ST
SCIENCE CENTER,3520-50 MARKET ST
SCIENCE CENTER,5700-30 CITY AVE
SCIENCE LEADERSHIP ACADEMY (FRANKLIN INSTITUTE) HIGH SCHOOL,2114-40 ARCH ST
SCIENCE TECHNOLOGY AND CAREERS PREPARATORY CS OF MATH HIGH SCHOOL,1928 POINT BREEZE AVE
"SCIENCE, EDUCATION AND RESEARCH CENTER",1801 N BROAD ST
SCIENTIST,KELLY DR
SCOTT BUILDING,800-34 WALNUT ST
SCREEN TEMPLE CHURCH,3134 RIDGE AVE
SEARCH HALL,3300 W SCHOOL HOUSE LN
2ND ANTIOCH BAPTIST CHURCH,912-18 N 41ST ST
2ND BANK OF THE US,400-34 CHESTNUT ST
2ND BAPTIST CHURCH OF FRANKFORD,1800-04 WILMOT ST
2ND BAPTIST CHURCH OF NICETOWN,3837-43 GERMANTOWN AVE
2ND CHURCH-CHRIST SCIENTIST,3015 W SCHOOL HOUSE LN
2ND MACEDONIA BAPTIST CHURCH,1301-07 W RUSCOMB ST
2ND MENNONITE CHURCH,2962-64 N FRANKLIN ST
2ND MT ZION BAPTIST CHURCH,3814-20 PARRISH ST
2ND NAZARETH MISSIONARY CHURCH,1600-10 S 18TH ST
2ND PILGRIM BAPTIST CHURCH,854-60 N 15TH ST
2ND SHILOH BAPTIST CHURCH,2068-70 RIDGE AVE
2ND SPANISH BAPTIST CHURCH,4917 FRANKFORD AVE
2ND TIMOTHY BAPTIST CHURCH,821 N 50TH ST
2ND UNITY BAPTIST CHURCH,1244 N 18TH ST
SECURITY,3300 W SCHOOL HOUSE LN
SEDGELY STOREROOM,2528-34 W SEDGLEY AVE
SEDGLEY PLAZA,2815 RIDGE AVE
SEDGLEY WOODS DISC GOLF COURSE,3300 RESERVOIR DR
SEGER PARK PLAYGROUND,1000-42 LOMBARD ST
SEGER PARK PLAYGROUND BUILDING,1000-42 LOMBARD ST
SENTINEL FELLOWSHIP CHURCH OF GOD,229-31 W MENTOR ST
SETTLEMENT MUSIC SCHOOL,414-28 QUEEN ST
SETTLEMENT MUSIC SCHOOL,4910 WYNNEFIELD AVE
SETTLING OF THE SEABOARD,KELLY DR
7TH DAY ADVENTIST CHURCH,3500-06 N FRONT ST
7TH DAY ADVENTISTS CHURCH,3149-59 F ST
7TH UNITED PRESBYTERIAN,4539 LEIPER ST
SEWER MAINTENANCE HEADQUARTERS,3257 FOX ST
SHAKE RATTLE,538-40 N 63RD ST
SHAKESPEARE MEMORIAL,3023 GRAYS FERRY AVE
SHALE RATTLE AND ROLL LC,3626-28 N BROAD ST
SHALOM BAPTIST CHURCH,4901 N 10TH ST
SHALOM PENTECOSTAL TEMPLE,323 E WYOMING AVE
SHARON BAPTIST CHURCH,3955-69 CONSHOHOCKEN AVE
SHARON CHRISTIAN ACADEMY ELEMENTARY SCHOOL,3955-69 CONSHOHOCKEN AVE
SHARON COMMUNITY CENTER,5843 CATHARINE ST
SHARON'S I LEARNING ACADEMY,3049 GERMANTOWN AVE
SHAWMONT SCHOOL,529 SHAWMONT AVE
SHEKINAH GLORY CHURCH,5722 ELMWOOD AVE
SHELLEY ADMINISTRATION BUILDING,3400 W GIRARD AVE
SHELLY'S PLAZA,8914-54 FRANKFORD AVE
SHEPARD POOL BUILDING,5700 HAVERFORD AVE
SHEPARD RECREATION CENTER,5700 HAVERFORD AVE
SHEPARD RECREATION CENTER BUILDING,5700 HAVERFORD AVE
SHEPHERD OF THE CITY LUTHERAN CHURCH,7200 CASTOR AVE
SHEPHERD'S FOLD,9801 FRANKFORD AVE
SHEPHERDS CHRISTIAN ACADEMY,6634-42 HAVERFORD AVE
SHERATON PHILADELPHIA,201 N 17TH ST
SHERATON UNIVERSITY CITY,3401-99 SPRUCE ST
SHERIDAN BUILDING,800-34 WALNUT ST
SHERIDAN WEST PUBLIC SCHOOL,3701 FRANKFORD AVE
SHERWOOD DAY CARE CENTER,5543 WILLOWS AVE
SHERWOOD PARK,5601 BALTIMORE AVE
SHEVCHENKO PARK,5301 N BROAD ST
SHILOH APOSTOLIC TEMPLE,1516-34 MASTER ST
SHILOH BAPTIST CHURCH,2040 CHRISTIAN ST
SHILOH CHRISTIAN ACADEMY,1516-34 MASTER ST
SHILOH TEMPLE COMMUNITY CHURCH,2209-11 N BROAD ST
SHINING STAR LEARNING CENTER,6806 CASTOR AVE
SHIPPING/RECEIVING,4201-47 WOODLAND AVE
SHISLER RECREATION CENTER,1800-56 BLAIR ST
SHISLER RECREATION CENTER BUILDING,1800-56 BLAIR ST
SHOPPERS WORLD,8500-10 BUSTLETON AVE
SHOPPING CENTER,1100 ADAMS AVE
SHOPPING CENTER,1100-38 W GIRARD AVE
SHOPPING CENTER,1300-14 E ERIE AVE
SHOPPING CENTER,1300-24 W LEHIGH AVE
SHOPPING CENTER,1400 E PASSYUNK AVE
SHOPPING CENTER,1600 CARPENTER ST
SHOPPING CENTER,1701 WELSH RD
SHOPPING CENTER,180 W DUNCANNON AVE
SHOPPING CENTER,180 W GIRARD AVE
SHOPPING CENTER,2001-53 OREGON AVE
SHOPPING CENTER,2206 S CHRISTOPHER COLUMBUS BLVD
SHOPPING CENTER,25 SNYDER AVE
SHOPPING CENTER,2539-53 CASTOR AVE
SHOPPING CENTER,2701 CASTOR AVE
SHOPPING CENTER,2910 S 70TH ST
SHOPPING CENTER,30-48 SNYDER AVE
SHOPPING CENTER,309 S 48TH ST
SHOPPING CENTER,3216-60 N BROAD ST
SHOPPING CENTER,325-47 SPRING GARDEN ST
SHOPPING CENTER,3265 S 61ST ST
SHOPPING CENTER,3301 ARAMINGO AVE
SHOPPING CENTER,3401 ARAMINGO AVE
SHOPPING CENTER,3501 CEDAR ST
SHOPPING CENTER,3621 ARAMINGO AVE
SHOPPING CENTER,3901 ARAMINGO AVE
SHOPPING CENTER,3967-87 FORD RD
SHOPPING CENTER,4160 MONUMENT RD
SHOPPING CENTER,4201-19 N BROAD ST
SHOPPING CENTER,4322-40 N BROAD ST
SHOPPING CENTER,4630-38 CHESTNUT ST
SHOPPING CENTER,501-07 SPRING GARDEN MALL
SHOPPING CENTER,5207-19 WALNUT ST
SHOPPING CENTER,5305-73 CHEW AVE
SHOPPING CENTER,5601-55 VINE ST
SHOPPING CENTER,5731-55 WAYNE AVE
SHOPPING CENTER,575 ADAMS AVE
SHOPPING CENTER,5806-20 WOODLAND AVE
SHOPPING CENTER,5901-09 LANCASTER AVE
SHOPPING CENTER,600-36 WASHINGTON AVE
SHOPPING CENTER,6024 RIDGE AVE
SHOPPING CENTER,6543-57 GREENE ST
SHOPPING CENTER,700-42 ADAMS AVE
SHOPPING CENTER,701 W LEHIGH AVE
SHOPPING CENTER,701-19 E GIRARD AVE
SHOPPING CENTER,7101-63 OGONTZ AVE
SHOPPING CENTER,7302-14 FRANKFORD AVE
SHOPPING CENTER,7520 CITY AVE
SHOPPING CENTER,7522-24 CASTOR AVE
SHOPPING CENTER,7550-62 HAVERFORD AVE
SHOPPING CENTER,8200-22 E ROOSEVELT BLVD
SHOPPING CENTER,8253-61 BUSTLETON AVE
SHOPPING CENTER,843-51 S 2ND ST
SHOPPING CENTER,8800 FRANKFORD AVE
SHOPPING CENTER,900 ORTHODOX ST
SHOPPING CENTER,9045 ASHTON RD
SHOPPING CENTER,9200 FRANKFORD AVE
SHOPPING CENTER,9920-50 BUSTLETON AVE
SHOPPPING CENTER,5305-73 CHEW AVE
SHOPPS AT CHAMPLOST,6000 N BROAD ST
SHOPS,7514 FRANKFORD AVE
SHOPS AT 40TH STREET,3401-99 SPRUCE ST
SHOPS AT 5TH,309-37 S 5TH ST
SHOPS AT LIBERTY PLACE,1625 CHESTNUT ST
SHOPS AT THE AVENUE NORTH,1600-36 N BROAD ST
SHOT TOWER RECREATION CENTER,101-31 CARPENTER ST
SHOT TOWER RECREATION CENTER BUILDING,101-31 CARPENTER ST
SHRINE OF THE MIRACULOUS MEDAL,526 E CHELTEN AVE
SHRINERS HOSPITALS FOR CHILDREN,3519-33 N BROAD ST
SHULER PLAYGROUND BUILDING,2901 N 29TH ST
SHUSTERMAN HALL,1801 N BROAD ST
SYDNEY KIMMEL MEDICAL COLLEGE,800-34 WALNUT ST
SIGNERS GARDEN,400-34 CHESTNUT ST
SILENUS AND THE INFANT BACCHUS,KELLY DR NORTH OF AVE
SILVERMAN HALL,3401-99 SPRUCE ST
SIMEONE FOUNDATION AUTOMOTIVE MUSEUM,6831 NORWITCH DR
SIMMONS ANIMAL HOSPITAL,1500 WOLF ST
SIMONS COMMUNITY RECREATION CENTER,1601-35 E WALNUT LN
SIMONS YOUTH ACCESS & TEEN CENTER ICE RINK,1601-35 E WALNUT LN
SIMPSON FLETCHER CONESTOGA,5319-25 MASTER ST
SIMPSON HALL / THE PERCH,5700-30 CITY AVE
SIMPSON MEMORIAL UNITED METODIST CHURCH,2913-15 KENSINGTON AVE
SIMPSON RECREATION CENTER,1010 ARROTT ST
SIMPSON RECREATION CENTER BUILDING,1010 ARROTT ST
SIMPSON-FLECTER UNITED METHODIST CHURCH,6037 JEFFERSON ST
SINGH CENTER FOR NANOTECHNOLOGY,3401-99 SPRUCE ST
SINGING FOUNTAIN,1538 S 11TH ST
SINGING ROCK SITTING PLACE,BELMONT AVE & N HORTICULTURAL DR
SISTER CITIES PARK,200 N 18TH ST
SISTER CITIES PARK FOUNTAIN,200 N 18TH ST
SISTER CITIES PLAZA,200 N 18TH ST
SISTERS OF GOOD,5356 CHEW AVE
SISTERS OF IHM,4902-06 CHESTNUT ST
SISTERS-THE HOLY FAMILY,4431 ALMOND ST
6TH STREET MENNONITE CHURCH,1338 N 6TH ST
SKIRKANICH HALL,3401-99 SPRUCE ST
SLAVE,KELLY DR
SLEEVE LANTERN,BELMONT AVE & N HORTICULTURAL DR
SMALL LANTERN,BELMONT AVE & N HORTICULTURAL DR
SMALL MAMMAL HOUSE,3400 W GIRARD AVE
SMALL WORLD DISCOVERY CENTER,5933-51 MCCALLUM ST
SMART CENTER ACADEMY PRE-SCHOOL,3301 W WESTMORELAND ST
SMART START ACADEMY,510-12 S 52ND ST
SMARTY PANTS DAY CARE CENTER,451 N 60TH ST
SMILOW CENTER FOR TRANSLATIONAL RESEARCH,3401 CIVIC CENTER BLVD
SMITH CHAPEL BAPTIST CHURCH,1828 RIDGE AVE
SMITH ELEMENTARY SCHOOL,1300 S 19TH ST
SMITH HOUSE,3300 W SCHOOL HOUSE LN
SMITH MEMORIAL ARCH,N CONCOURSE DR
SMITH PLAYGROUND,2100 S 24TH ST
SNOW VIEWING LANTERN,BELMONT AVE & N HORTICULTURAL DR
SNYDER AVENUE CONGREGATIONAL CHURCH,300 SNYDER AVE
SNYDER PLAZA,2001 S SWANSON ST
SOCIAL CONSCIOUSNESS,2500 SPRING GARDEN ST
SOCIAL SECURITY ADMINISTRATION DISTRICT OFFICE,4240-52 MARKET ST
SOCIETY FOR HELPING CHURCH,1323 W SUSQUEHANNA AVE
SOCIETY HILL PLAYHOUSE,507-15 S 8TH ST
SOCIETY HILL SYNAGOGUE,418 SPRUCE ST
SOLID ROCK BAPTIST CHURCH,1836-40 FEDERAL ST
SOLID ROCK CHURCH OF GOD,5805-07 MARKET ST
SOLITUDE,3400 W GIRARD AVE
SOLLY STABLES,1140 SOLLY AVE
SOLLY STABLES BUILDING 2,1140 SOLLY AVE
SOLLY STABLES BUILDING 3,1140 SOLLY AVE
SOLOMON LABS PSYCHOLOGY,3401-99 SPRUCE ST
SOLOMON SOLIS-COHEN ES,1901 TYSON AVE
SOLOMON TEMPLE BAPTIST CHURCH,602-04 W ERIE AVE
SOMERSET STATION,2800 KENSINGTON AVE
SOMERTON INTERFAITH FOOD BANK,510 SOMERTON AVE
SOMERTON POST OFFICE,667 HENDRIX ST
SOMERTON STATION PLAZA,13625-49 PHILMONT AVE
SOMERTON WOODS,900 WELTON ST
SOMETHING TO GROW ON LEARNING CENTER,5924 CHESTNUT ST
SORYARANGSKY BUDDHIST TEMPLE,5409-15 RISING SUN AVE
SOUL CLINIC FOR CHRIST,1315 S 23RD ST
SOURIN RESIDENCE CENTER,5700-30 CITY AVE
SOUTH GEORGES HILL RESTROOMS,5050 S GEORGES HILL DR
SOUTH PHILADELPHIA HIGH SCHOOL,2101 S BROAD ST
SOUTH PHILADELPHIA OLDER ADULT CENTER,1430 E PASSYUNK AVE
SOUTH PHILADELPHIA SHOPPING CENTER,2533 S 24TH ST
SOUTH PHILADELPHIA SPORTS COMPLEX,3601 S BROAD ST
SOUTH RESIDENCE (VICE PRESIDENT),2035 S COLLEGE AVE
SOUTH SQUARE MARKET,2221-25 SOUTH ST
SOUTH STREET COMMUNITY GARDEN,835 SOUTH ST
SOUTH TOWER,222-48 N BROAD ST
SOUTHEAST HEALTH CENTER,800 WASHINGTON AVE
SOUTHEAST WATER POLLUTION CONTROL PLANT,25 PATTISON AVE
SOUTHERN BAPTIST CHURCH,3550 N 5TH ST
SOUTHERN GROUNDS HEADQUARTERS (PAID),5331-41 HAVERFORD AVE
SOUTHPORT MARVINE TERMINAL COMPLEX,1 MUSTIN ST
SOUTHSIDE CHURCH,5058-62 WAYNE AVE
SOUTHWARK POST OFFICE,917 DICKINSON ST
SOUTHWARK SCHOOL,1821 S 9TH ST
SOUTHWEST LEADERSHIP ACADEMY CHARTER SCHOOL,7101 PASCHALL AVE
SOUTHWEST PHILADELPHIA SEVENTH-DAY ADVENTIST CHURCH,1220 S 58TH ST
SOUTHWEST WATER POLLUTION CONTROL PLANT,8200 ENTERPRISE AVE
SOUTHWESTERN PRESBYTERIAN CHURCH,2531 S 70TH ST
SPANISH CHAPEL,1903 SPRING GARDEN ST
SPANNING THE CONTINENT,KELLY DR
SPEAKMAN HALL,1801 N BROAD ST
SPIRIT AND TRUTH,1436-38 W LYCOMING ST
SPIRIT AND TRUTH WORSHIP CATHEDRAL,3135-49 W MONTGOMERY AVE
SPIRIT OF ENTERPRISE,KELLY DR
SPORTS DECK,1600 SPRING GARDEN ST
SPRING GARDEN ACADEMY PRE-SCHOOL,1801 SPRING GARDEN ST
SPRING GARDEN COLLEGE,7406 GERMANTOWN AVE
SPRING GARDEN POST OFFICE,1235-39 N 7TH ST
SPRING GARDEN SCHOOL,1146 MELON ST
SPRINGSIDE SCHOOL,8000 CHEROKEE ST
SPRUCE HILL BIRD SANCTUARY,4504-06 LOCUST ST
SPRUCE HOUSE,4201 SPRUCE ST
SPRUCE PLAYLOT,4801 SPRUCE ST
SPRUCE STREET HARBOR PARK,601 S CHRISTOPHER COLUMBUS BLVD
ST ADALBERT ROMAN CATHOLIC CHURCH PHILADELPHIA,2639 E ALLEGHENY AVE
ST AGNES-ST JOHN CHURCH,801-15 N 4TH ST
ST AMBROSE RECTORY,401 E ROOSEVELT BLVD
ST AMBROSE SCHOOL,401 E ROOSEVELT BLVD
ST ANDREWS LITHUANIAN CATHOLIC CHURCH,1901-11 WALLACE ST
ST ANDREWS RUSSIAN ORTHODOX CHURCH,709-11 N 5TH ST
ST ANDREWS UKRAINIAN CATHOLIC CHURCH,425-29 PINE ST
ST ANNE'S CEMETERY,2332 E LEHIGH AVE
ST ANNE'S CHURCH,2332 E LEHIGH AVE
ST ANTHONY OF PADUA REGIONAL CATHOLIC SCHOOL,909-15 PIERCE ST
ST ATHANASIUS CHURCH,7141-99 LIMEKILN PIKE
ST ATHANASIUS CONVENT,7040 LIMEKILN PIKE
ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,7141-99 LIMEKILN PIKE
ST BARNABAS CHURCH,6300 BUIST AVE
ST BARNABAS UNITED METHODIST CHURCH,1812-14 WHARTON ST
ST BENEDICT'S,1919 MEDARY AVE
ST BERNARD'S CHURCH,4400 BLEIGH AVE
ST BRIDGET'S ROMAN CATHOLIC CHURCH,3669 MIDVALE AVE
ST CALLISTUS ROMAN CATHOLIC CHURCH,6700-12 LANSDOWNE AVE
ST CASIMIR'S LITHUANIAN CATHOLIC CHURCH,324 WHARTON ST
ST CECILIA ES,535 RHAWN ST
ST CECILIA'S CATHOLIC CHURCH,535 RHAWN ST
ST CHARLES BORROMEO ROMAN CATHOLIC CHURCH,900 S 20TH ST
ST CHRISTOPHER'S,13301 PROCTOR RD
ST CLEMENT'S ROMAN CATHOLIC CHURCH,6535 CHESTER AVE
ST CYPRIAN DAY CARE,6213-35 CEDAR AVE
ST CYPRIAN SCHOOL,6213-35 CEDAR AVE
ST DAVID'S EVANGELICAL LUTHERAN,9180 ACADEMY RD
ST DOMINIC ROMAN CATHOLIC CHURCH,8500 FRANKFORD AVE
ST DOMINIC SCHOOL,8500 FRANKFORD AVE
ST DOMINOC CEMETERY,8500 FRANKFORD AVE
ST EDMOND'S CHURCH,2100 S 21ST ST
ST ELIZABETH'S RECOVERY RESIDENCE,1847-59 N 23RD ST
ST FRANCIS CABRINI CHURCH,401-09 N 65TH ST
ST FRANCIS CABRINI REGIONAL CATHOLIC SCHOOL,415-21 N 65TH ST
ST FRANCIS DESALES SCHOOL,917 S 47TH ST
ST FRANCIS XAVIER SCHOOL,641-51 N 24TH ST
ST FRANCIS OF ASSISI CATHOLIC CHURCH,48-60 W LOGAN ST
ST GABRIEL PARRISH,1432-48 S 29TH ST
ST GABRIEL SCHOOL,1432-48 S 29TH ST
ST GABRIELS EPISCOPAL CHURCH,123 E ROOSEVELT BLVD
ST GEORGE SCHOOL,2700 E VENANGO ST
ST GEORGE ST BARNABAS EPSCPL,512-38 S 61ST ST
ST HELENA CHURCH,6161 N 5TH ST
ST HELENA INCARNATION REGIONAL CATHOLIC SCHOOL,6127 N 5TH ST
ST JAMES COMMUNITY BAPTIST CHURCH,5707 MCMAHON AVE
ST JAMES EPISCOPAL CHURCH,6800 WOODLAND AVE
ST JAMES EPISCOPAL CHURCH CEMETERY,6800 WOODLAND AVE
ST JAMES LUTHERAN CHURCH,5197 CASTOR AVE
ST JAMES PENTECOSTAL CHURCH,4101-05 LUDLOW ST
ST JAMES SCHOOL MIDDLE SCHOOL,3201-29 W CLEARFIELD ST
ST JEROME CHURCH,2950 HOLME AVE
ST JEROME SCHOOL,2950 HOLME AVE
ST JOACHIM'S CHURCH,1501-25 CHURCH ST
ST JOACHIM'S CHURCH CEMETERY,1501-25 CHURCH ST
ST JOAN OF ARCADE,3558 FRANKFORD AVE
ST JOHN AME CHURCH,2110-16 S 71ST ST
ST JOHN CANTIUS CHURCH,4415 ALMOND ST
ST JOHN F W B CHURCH,1343-51 MCFERRAN ST
ST JOHN THE BAPTIST RC CHURCH,205 RECTOR ST
ST JOHN THE BAPTIST RC CHURCH CEMETERY,205 RECTOR ST
ST JOHN THE EVANGELIST CHURCH,21 S 13TH ST
ST JOHN'S BAPTIST CHURCH,1601 S 13TH ST
ST JOHN'S EVANGELICAL LUTHERAN CHURCH,3101 TYSON AVE
ST JOHN'S MEMORIAL BAPTIST CHURCH,11-15 W THOMPSON ST
ST JOSAPHAT UKRAINIAN CATHOLIC SCHOOL,4521 LONGSHORE AVE
ST JOSEPH BAPTIST CHURCH,224-50 N 54TH ST
ST JOSEPH CATHOLIC HOME,157 CARPENTER LN
ST JOSEPH'S PREPARATORY SCHOOL HIGH SCHOOL,1701-33 W GIRARD AVE
ST JOSEPH'S UNIVERSITY,5700-30 CITY AVE
ST JUDE BAPTIST CHURCH,626-32 N 38TH ST
ST KATHARINE OF SIENA CHURCH,9720-88 FRANKFORD AVE
ST KATHERINE SIENA SCHOOL,9720-88 FRANKFORD AVE
ST LAURENTIUS CHURCH,1600-06 E BERKS ST
ST LAURENTIUS SCHOOL,1612 E BERKS ST
ST LEO'S,6649 TULIP ST
ST LUCY'S ROMAN CATHOLIC CHURCH,140 GREEN LN
ST LUKE'S MEMORIAL CHURCH,1930-54 WELSH RD
ST LUKES MEMORIAL CHURCH CEMETERY,1930-54 WELSH RD
ST MALACHY SCHOOL,1419-29 N 11TH ST
ST MALACHY'S CATHOLIC CHURCH,1419-29 N 11TH ST
ST MARK BAPTIST CHURCH,1238 S 23RD ST
ST MARK BAPTIST CHURCH,2154 N 19TH ST
ST MARK OUTREACH BAPTIST CHURCH,2853-61 GERMANTOWN AVE
ST MARK'S CHURCH FRANKFORD,4430-42 FRANKFORD AVE
ST MARK'S LUTHERAN CHURCH,6340-60 N BROAD ST
ST MARON RC CHURCH HALL,1134-36 S 10TH ST
ST MARTIN DE PORRES CHURCH,2338-44 W LEHIGH AVE
ST MARTIN OF TOURS CHURCH,5450 E ROOSEVELT BLVD
ST MARTIN DE PORRES SCHOOL,2338-44 W LEHIGH AVE
ST MARTIN OF TOURS SCHOOL,5400 E ROOSEVELT BLVD
ST MARTINS GOLF COURT,515 W HARTWELL LN
ST MARTINS STATION,311 W SPRINGFIELD AVE
ST MARY'S BAPTIST CHURCH,6142-44 HAZEL AVE
ST MARY'S EPISCOPAL CHURCH,8600 RIDGE AVE
ST MARYS INTERPAROCHIAL SCHOOL,408-26 LOCUST ST
ST MATTHEWS SCHOOL,3000 COTTMAN AVE
